longitude;latitude
-73.9386177;40.7498146
-73.8562775;40.8546781
-73.8949013;40.8799054
-73.9350128;40.8915423
-74.0073395;40.7787
-73.9848661;40.7693022
-73.9843011;40.7698195
-73.9820909;40.7688851
-73.9818871;40.7680969
-73.9386177;40.7498146
